SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
130;"18.11.00";2;Trykning af dagblade;Branchen omfatter trykning af aviser, dagblade og andre tidsskrifter, der udkommer mindst 4 gange om ugen. Udgivelse af aviser henvises til 58.13.00;;"- Trykning af andre tidsskrifter, som udkommer mindst fire gange om ugen
- Avistrykkeri";"- Udgivelse af tryksager, jf.<ref>58.1</ref>
- Fotokopiering af dokumenter, jf.<ref>82.19.00</ref>";;
131;"18.12.00";2;Anden trykning;Branchen omfatter trykning af magasiner og tidskrifter, der udkommer mindre end fire gange om ugen, samt bøger, brochurer, etiketter mv. Trykning direkte på alle typer af materialer er også omfattet. Virksomheder, der trykker magasiner og tidskrifter mm, som udkommer mere end fire gange om ugen, henvises til 18.11.00;"- Trykning af magasiner og andre tidsskrifter, som udkommer mindre end fire gange om ugen
- Trykning af bøger og brochurer, nodehæfter og partiturer, landkort, atlasser, plakater, reklamekataloger, prospekter og andet trykt reklamemateriale, frimærker, gebyrmærker, adkomstbeviser, checkhæfter og andre værdipapirer, chipkort, smart cards, albummer, dagbøger, kalendere og andre kommercielle tryksager, personligt brevpapir og andre tryksager fremstillet ved højtryk, offset, fotogravure, flexotryk, serigrafitryk og andre trykmetoder, kopieringsmaskiner, computerprintere, prægemaskiner mv.
- Quick printing
- Trykning direkte på tekstiler, plast, glas, metal, træ og keramik
- Det trykte materiale er ofte ophavsretligt beskyttet";- Trykning af etiketter og mærkater (litografi, dybtryk, flexotryk, mv.);"- Fremstilling af kontorartikler (notesbøger, ringbind, kartoteker, regnskabsbøger, formularer mv.), når den trykte tekst ikke er hovedformålet, jf.<ref>17.23.00</ref>
- Udgivelse af tryksager, jf.<ref>58.1</ref>";;
132;"18.13.00";2;Prepress- og premedia-arbejde;Branchen omfatter forberedende arbejder inden trykning (fysisk eller digitalt).;;;- Specialiserede design aktiviteter, jf.<ref>74.10</ref>;;
133;"18.14.00";2;Bogbinding og lignende serviceydelser;Branchen omfatter serviceydelser i forbindelse med færdigbearbejdning af bøger, tryksager, cd-rom'er og dvd'er. Fx er foldning, hæftning, laminering, prægning og gravering.;"- Forlagsindbinding, prøvemontering og viderebearbejdning som hjælpeaktivitet til trykning, fx forlagsindbinding af bøger, brochurer, magasiner, kataloger mv. ved foldning, tilsnitning og renskæring, samling, hæftning, klæbebinding, tilsnitning og belægning, klæbning, kollationering, rining og guldtrykning, spiralhæftning og plastindbinding
- Indbinding og færdigbearbejdning af trykt papir eller pap ved foldning, stempling, boring, hulning, perforering, prægning, klæbning og laminering
- Serviceydelser i forbindelse med færdigbearbejdning af cd-rom'er eller dvd'er
- Serviceydelser i forbindelse med postudsendelser som fx individuel tilpasning, forberedelse af kuverter og befordring
- Anden færdigbearbejdning som prægning, gravering, stempling, overførsel til blindskrift";;;;
134;"18.20.00";2;Reproduktion af indspillede medier;Branchen omfatter reproduktion af cd'er, dvd'er, lp'er og andre medier med musik, film, software eller data. Branchen omfatter kun reproduktion fra masterkopier. Hverken udgivelse eller indspilning er omfattet.;"- Reproduktion fra masterkopier af grammofonplader, cd'er og lydbånd med musik eller andre lydoptagelser
- Reproduktion fra masterkopier af grammofonplader, dvd'er og videobånd med spillefilm og andre videooptagelser
- Reproduktion fra masterkopier af software og data på disketter, cd-rom'er og bånd";;"- Reproduktion af tryksager, jf.<ref>18.11.00</ref>,<ref>18.12.00</ref>
- Udgivelse af software, jf.<ref>58.2</ref>
- Produktion og distribution af spillefilm, videobånd og spillefilm på dvd eller lignende media, jf.<ref>59.11</ref>,<ref>59.12</ref>,<ref>59.13</ref>
- Reproduktion af spillefilm med henblik på distribution til biografer, jf.<ref>59.12.00</ref>
- Fremstilling af masterkopier til grammofonplader eller lydmateriale, jf.<ref>59.20.00</ref>";;
135;"19.10.00";2;Fremstilling af koks mv.;Branchen omfatter fremstilling af koks, beg, råkul, brunkulstjære og lignende Indvinding af kul er ikke omfattet. Fremstilling af briketter af kul henvises til 19.20.00;"- Drift af koksværker
- Fremstilling af koks og halvkoks
- Fremstilling af beg og begkoks
- Fremstilling af koksovnsgas
- Fremstilling af råkul og brunkulstjære
- Agglomerering af kul";;- Fremstilling af brændselsbriketter af kul, jf.<ref>19.20.00</ref>;;
136;"19.20.00";2;Fremstilling af raffinerede mineralolieprodukter;Branchen omfatter raffinering af mineralolie til anvendelige produkter. Dette omfatter aktiviteter som fraktionering, destillering og spaltning. De resulterende produkter er bl.a. brændsels- og smøreolier, motorbrændstof, gasraffineringer, produkter til den kemiske industri, paraffin mv. Fremstilling af briketter af kul eller tørv er også omfattet.;"- Fremstilling af motorbrændstof: benzin, petroleum mv.
- Fremstilling af brændstof: let, medium og svær brændselsolie, gasraffineringer som fx ethan, propan, butan mv.
- Fremstilling af oliebaseret smøreolie eller -fedt, herunder spildolie og dieselolie
- Fremstilling af produkter til den petrokemiske industri og til fremstilling af vejbelægning
- Fremstilling af diverse produkter: mineralsk terpentin, vaseline, paraffin, mineralolievoks mv.
- Fremstilling af råoliebriketter
- Blandinger af biobrændstof, dvs. blandinger af alkoholer med råolie (fx gasohol)";"- Fremstilling af tørvebriketter
- Fremstilling af kul- og brunkulsbriketter";;;
137;"20.11.00";2;Fremstilling af industrigasser;Branchen omfatter fremstilling af flydende eller komprimerede industrigasser og medicinske gasser. Fremstilling af brændstofgasser henvises til 19.20.00;"- Fremstilling af flydende eller komprimerede, uorganiske industrigasser eller medicinske gasser:
- Usammensatte gasser
- Flydende eller komprimeret luft
- Kølegasser
- Blandede industrigasser
- Inaktive gasser som fx kuldioxid
- Isoleringsgasser";;"- Indvinding af metan, ethan, butan eller propan, jf.<ref>06.20.00</ref>
- Fremstilling af brændstofgasser som fx ethan, butan eller propan på et olieraffinaderi, jf.<ref>19.20.00</ref>
- Fremstilling af gasformige brændstoffer fra kul, spild mv., jf.<ref>35.21.00</ref>";;
138;"20.12.00";2;Fremstilling af farvestoffer og pigmenter;Branchen omfatter fremstilling af farvestoffer og pigmenter i uforarbejdet form eller som koncentrater. Fremstilling af tilberedte farver, maling og andre færdige produkter henvises til 20.30.00;- Fremstilling af farvestoffer og pigmenter af ethvert materiale i uforarbejdet form eller i form af koncentrater;- Fremstilling af produkter af den type, der bruges som fluorescerende blegemidler eller som luminophorer;- Fremstilling af tilberedte farver og pigmenter, jf.<ref>20.30.00</ref>;;
139;"20.13.00";2;Fremstilling af andre uorganiske basiskemikalier;Branchen omfatter fremstilling af uorganiske basiskemikalier ved hjælp af grundlæggende processer. Normalt er produkterne separate kemiske elementer eller forbindelser, fx syrer eller baser. Fremstilling af destilleret vand er også omfattet.;"- Fremstilling af kemiske elementer (undtagen industrigasser og basismetaller)
- Fremstilling af uorganiske syrer undtagen salpetersyre
- Fremstilling af baser, lud og andre uorganiske baser undtagen ammoniak
- Fremstilling af andre uorganiske forbindelser
- Ristning af svovlkis
- Berigelse af uran- og thoriummalme
- Oparbejdning af atombrændstof";- Fremstilling af destilleret vand;"- Fremstilling af industrigasser, jf.<ref>20.11.00</ref>
- Fremstilling af kvælstofgødning og nitrogenforbindelser, jf.<ref>20.15.00</ref>
- Fremstilling af ammoniak, jf.<ref>20.15.00</ref>
- Fremstilling af ammoniumchlorid, jf.<ref>20.15.00</ref>
- Fremstilling af nitritter og nitrater af kalium, jf.<ref>20.15.00</ref>
- Fremstilling af ammoniumcarbonater, jf.<ref>20.15.00</ref>
- Fremstilling af aromatisk destilleret vand, jf.<ref>20.53.00</ref>
- Fremstilling af metaller, se hovedgruppe<ref>24</ref>";;
140;"20.14.00";2;Fremstilling af andre organiske basiskemikalier;Branchen omfatter fremstilling af organiske basiskemikalier ved hjælp af grundlæggende processer som fx termisk krakning og destillation. Normalt er produkterne separate kemiske elementer eller forbindelser. Fremstilling af industrigasser (20.11.00) og farvestoffer (20.12.00) er ikke omfattet.;"- Fremstilling af organiske basiskemikalier:
- Cykliske og acykliske carbonhydrider, mættede og umættede
- Cykliske og acykliske alkoholer
- Mono- og polycarboxylsyrer, herunder eddikesyre
- Andre oxygenholdige forbindelser, herunder aldehyder, ketoner, quinoner og to eller flere oxygenholdige forbindelser
- Syntetisk glycerol
- Organiske nitrogenholdige forbindelser, herunder aminer
- Gæring af sukkerrør, majs eller lignende til produktion af alkohol og estere
- Andre organiske forbindelser, herunder trædestillationsprodukter (fx trækul) mv.
- Fremstilling af syntetiske aromatiske produkter
- Destillation af kultjære";;"- Fremstilling af basisplast, jf.<ref>20.16.00</ref>
- Fremstilling af syntetisk gummi i primær form, jf.<ref>20.17.00</ref>
- Fremstilling af rå glycerol, jf.<ref>20.41.00</ref>
- Fremstilling af naturlige æteriske olier, jf.<ref>20.53.00</ref>
- Fremstilling af salicyl- og O-acetylsalicylsyrer, jf.<ref>21.10.00</ref>";;
141;"20.15.00";2;Fremstilling af gødningsstoffer og nitrogenprodukter;Branchen omfatter fremstilling af bl.a. gødningsstoffer, nitrogenprodukter, pottemuld og havemuld.;"- Fremstilling af gødningsstoffer
- Ublandede eller blandede nitrogenholdige, fosforholdige eller kaliumholdige gødningsstoffer
- Urinstof, rå naturlige fosfater og rå naturlige kaliumsalte
- Fremstilling af relaterede nitrogenprodukter:
- Saltpeter- og nitrersyrer, ammoniak, ammoniumchlorid, ammoniumcarbonat, nitritter og nitrater af kalium";"- Fremstilling af pottemuld med tørv som hovedingrediens
- Fremstilling af havemuldsblandinger af naturlig jord, sand, ler, gødningsmineraler mv.";"- Indvinding af guano, jf. <ref>08.91.00</ref>
- Fremstilling af agrokemiske produkter som fx pesticider, jf. <ref>20.20.00</ref>
- Fremstilling af kompost af organisk affald, jf. <ref>38.21.10</ref>";;
142;"20.16.00";2;Fremstilling af plast i ubearbejdet form;Branchen omfatter fremstilling af ubearbejdet plast, fx polymerer, polyamider og silikoner. Branchen omfatter ikke fremstilling af færdige varer, mellemprodukter eller komponenter af plast.;"- Fremstilling af plast i ubearbejdet form:
- Polymerer, herunder polymerer af ethylen, propylen, styren, vinylchlorid, vinylacetat og akryl
- Polyamider
- Fenol- og epoxyharpikser og polyurethaner
- Alkyd- og polyesterharpikser og polyethere
- Silikoner
- Ionbyttere på basis af polymerer";- Fremstilling af cellulose og dens kemiske derivater;"- Fremstilling af kemiske og syntetiske fibre, filamenter og garn, jf.<ref>20.60.00</ref>
- Forarbejdning af plastprodukter til genindvindingsbrug, jf.<ref>38.32.00</ref>";;
143;"20.17.00";2;Fremstilling af syntetisk gummi i ubearbejdet form;Branchen omfatter fremstilling af ubearbejdet syntetisk gummi. Branchen omfatter hverken fremstilling af færdige varer, mellemprodukter eller komponenter af gummi.;"- Fremstilling af syntetisk gummi i ubearbejdet form:
- Syntetgummi
- Factis
- Fremstilling af blandinger af syntetgummi og naturgummi eller gummilignende materiale (fx balata)";;;;
144;"20.20.00";2;Fremstilling af pesticider og andre agrokemiske produkter;Branchen omfatter fremstilling af pesticider og andre sprøjtemidler til landbruget.;"- Fremstilling af insektbekæmpelsesmidler, rotteudryddelsesmidler, afsvampningsmidler, ukrudtsbekæmpelsesmidler, midemidler, sneglegift, biocider
- Fremstilling af antispiringsmidler, plantevækstregulatorer
- Fremstilling af desinfektionsmidler (til landbrug og andet)
- Fremstilling af andre agrokemiske produkter i.a.n.";;- Fremstilling af gødningsstoffer og nitrogenprodukter, jf.<ref>20.15.00</ref>;;
145;"20.30.00";2;Fremstilling af maling, lak og lignende overfladebehandlingsmidler, trykfarver samt tætningsmaterialer;Branchen omfatter fremstilling af maling, lak, trykfarve og andre overfladebehandlingsprodukter.;"- Fremstilling af maling, lak, emalje og fernis
- Fremstilling af tilberedte pigmenter, opakiseringsmidler og farver
- Fremstilling af emalje, glas, engober og lignende præparater
- Fremstilling af mastiks
- Fremstilling af tætningsmateriale og lignende ikke-ildfaste udfyldningsmaterialer eller præparater til overfladebehandling
- Fremstilling af sammensatte organiske opløsningsmidler og fortyndingsmidler
- Fremstilling af tilberedte farve- og lakfjernere
- Fremstilling af trykfarver";;"- Fremstilling af farvestoffer og pigmenter, jf.<ref>20.12.00</ref>
- Fremstilling af blæk og tusch, jf.<ref>20.59.00</ref>";;
146;"20.41.00";2;Fremstilling af sæbe, rengørings- og rensemidler samt poleremidler;Branchen omfatter fremstilling af rengøringsmidler, vaskepulvere, pudsemidler, sæbe og lignende. Fremstilling af sæbe til personlig brug (håndsæbe og lign.) henvises til 20.42.00 og fremstilling af medicinsk sæbe henvises til 20.59.00;"- Fremstilling af organiske overfladeaktive stoffer
- Fremstilling af papir, vattering, filt mv., der er belagt eller dækket med sæbe eller rengøringsmiddel
- Fremstilling af glycerol
- Fremstilling af sæbe undtagen kosmetisk sæbe
- Fremstilling af overfladeaktive præparater:
- Vaskepulver i fast eller flydende form og rengøringsmilder
- Opvaskepræparater
- Blødgøringsmidler til tekstiler
- Fremstilling af pudse- og rensemidler:
- Præparater til parfumering og deodorisering af rum
- Syntetisk tilberedt voks
- Poleremidler og cremer til læder og træ
- Poleremidler til automobiler, glas og metal
- Skurepasta og -pulver, herunder papir, vattering mv., der er belagt eller dækket med disse";;"- Fremstilling af separate, kemisk definerede forbindelser, jf.<ref>20.13.00</ref>,<ref>20.14.00</ref>
- Fremstilling af glycerol, der er syntetiseret af råolieprodukter, jf.<ref>20.14.00</ref>
- Fremstilling af kosmetisk sæbe, jf.<ref>20.42.00</ref>";;
147;"20.42.00";2;Fremstilling af parfume, hårshampoo, tandpasta mv.;Branchen omfatter fremstilling af parfume, shampoo, håndsæbe, hårlak, tandpasta, make-up, solcreme og lignende. Fremstilling af medicinsk sæbe henvises til 21.20.00;"- Fremstilling af parfume, hårshampoo, tandpasta mv.:
- Parfume og toiletvand
- Make up-præparater og præparater til skønhedspleje
- Præparater til solbeskyttelse og solbruning
- Manicure- og pedicurepræparater
- Hårshampoo, hårlak og præparater til permanent og udglatning
- Tandpasta og præparater til mundhygiejne, herunder præparater til fiksering af tandproteser
- Barberpræparater, herunder preshave- og aftershave-præparater
- Deodoranter og badesalt
- Hårfjerningsmidler
- Fremstilling af kosmetisk sæbe";;- Ekstraktion og raffinering af naturlige æteriske olier, jf.<ref>20.53.00</ref>;;
148;"20.51.00";2;Fremstilling af sprængstoffer;Branchen omfatter fremstilling af sprængstoffer, fyrværkeri, signalraketter og tændstikker.;"- Fremstilling af drivmiddelpulver
- Fremstilling af sprængstoffer og pyrotekniske produkter, herunder fænghætter, detonatorer, signalraketter, fyrværkeri mv.";- Fremstilling af tændstikker;;;
149;"20.52.00";2;Fremstilling af lim;Branchen omfatter fremstilling af lim og andre klæbemidler.;- Fremstilling af lim og tilberedte klæbemidler, herunder lim og klæbemidler fremstillet på basis af gummi;;- Fremstilling af gelatine og gelatinederivater, jf.<ref>20.59.00</ref>;;
150;"20.53.00";2;Fremstilling af æteriske olier;Branchen omfatter fremstilling af æteriske olier, i form af ekstrakter fra naturlige aromatiske produkter, samt smags- og duftblandinger til drikkevarer, fødevarer eller parfume.;"- Fremstilling af ekstrakter fra naturlige aromatiske produkter
- Fremstilling af resinoider
- Fremstilling af duftblandinger til anvendelse ved fremstilling af parfumer og fødevarer";;"- Fremstilling af syntetiske aromatiske produkter, jf.<ref>20.14.00</ref>
- Fremstilling af parfume, hårshampoo, tandpasta mv., jf.<ref>20.42.00</ref>";;
151;"20.59.00";2;Fremstilling af andre kemiske produkter i.a.n.;Branchen omfatter fremstilling af en række forskellige kemiske produkter, som ikke hører til de andre brancher, der starter med 20. Det kan fx være gelatine, proteinstoffer, lodde- og svejsemidler eller tilsætningsstoffer til cement. Tilsætningsstoffer til fødevareindustrien er også omfattet.;"- Fremstilling af fotografiske plader, film, lysfølsomt papir og andre lysfølsomme ikke-eksponerede materialer
- Fremstilling af kemiske præparater til fotografisk brug
- Fremstilling af gelatine og gelatinederivater
- Fremstilling af andre kemiske produkter i øvrigt:
- Peptoner, peptonderivater, andre proteinstoffer og proteinderivater i.a.n.
- Kemisk modificerede olier og fedtstoffer
- Materialer til brug ved færdigbearbejdning af tekstiler og læder
- Pulver og pasta til brug ved lodning og svejsning
- Stoffer til bejdsning af metal
- Tilberedte additiver til cement
- Aktivt kul, smøreolieadditiver, tilberedte gummiacceleratorer, katalysatorer og andre kemiske produkter til industribrug
- Præparater til modvirkning af bankning og frostbeskyttelsesmidler
- Væsker til hydraulisk transmission
- Sammensatte diagnostiske reagensmidler eller laboratoriereagensmidler";"- Fremstilling af blæk og tusch
- Fremstilling af tilsætningsstoffer til fødevareindustrien";"- Fremstilling af kemisk definerede produkter i bulk, jf.<ref>20.13.00</ref>og<ref>20.14.00</ref>
- Fremstilling af andre organiske basiskemikalier, jf.<ref>20.14.00</ref>
- Fremstilling af destilleret vand, jf.<ref>20.13.00</ref>
- Fremstilling af trykfarver, jf.<ref>20.30.00</ref>
- Fremstilling af asfaltbaserede klæbemidler, jf.<ref>23.99.10</ref>";;
152;"20.60.00";2;Fremstilling af kemofibre;Branchen omfatter fremstilling af kemofibre. Spinding af kunstige fibre samt fremstilling af garn af kemofibre henvises til 13.10.00;"- Fremstilling af bånd af syntetiske eller kunstige filamenter
- Fremstilling af syntetiske eller kunstige stapelfibre, ikke-kartede, kæmmede eller på anden måde beredte til spinding
- Fremstilling af syntetisk eller kunstigt filamentgarn, herunder højstyrkegarn
- Fremstilling af syntetiske eller kunstige monofilamenter eller strimler";;"- Spinding af syntetiske eller kunstige fibre, jf.<ref>13.10.00</ref>
- Fremstilling af garn af kemofibre, jf.<ref>13.10.00</ref>";;
153;"21.10.00";2;Fremstilling af farmaceutiske råvarer;Branchen omfatter fremstilling af farmaceutiske råvarer og aktive medicinske stoffer. Forarbejdning af blod er også omfattet.;"- Fremstilling af farmaceutiske råvarer
- Fremstilling af aktive, medicinske stoffer, som anvendes til fremstilling af medikamenter: antibiotika, basisvitaminer, salicyl- og O-acetylsalicylsyre mv.
- Forarbejdning af blod";"- Fremstilling af kemisk rent sukker
- Forarbejdning af kirtler og fremstilling af ekstrakter af kirtler mv.";;;
154;"21.20.00";2;Fremstilling af farmaceutiske præparater;Branchen omfatter fremstilling af medicin og andre lægemidler, fx vacciner. Fremstilling af plantelægemidler er også omfattet, mens fremstilling af kosttilskud hører til branche 10.89.00;"- Fremstilling af lægemidler:
- Antisera og andre blodfraktioner
- Vacciner
- Diverse lægemidler, herunder homøopatiske præparater
- Fremstilling af kemiske svangerskabsforebyggende produkter til udvendig brug og hormonelle svangerskabsforebyggende lægemidler
- Fremstilling af medicinske diagnosticeringspræparater, herunder graviditetstester
- Fremstilling af radioaktive in-vivo-diagnosticeringsstoffer
- Fremstilling af bioteknologiske medicinalvarer";"- Fremstilling af medicinsk imprægneret vat, gaze, bandager, forbindinger mv.
- Tilberedning af plantelægemidler (knusning, sortering, formaling) til farmaceutisk brug";"- Fremstilling af planteudtræk (mint, verbena, kamille mv.), jf.<ref>10.83.00</ref>
- Fremstilling af cement til knoglerekonstruktion, jf.<ref>32.50.00</ref>
- Fremstilling af tandfyldninger og dental cement, jf.<ref>32.50.00</ref>
- Fremstilling af afdækningsstykker, jf.<ref>32.50.00</ref>
- Forskning og udvikling af medicinalvarer og bioteknologiske medicinalvarer, jf.<ref>72.1</ref>
- Emballering af medicinalvarer, jf.<ref>82.92.00</ref>";;
155;"22.11.00";2;"Fremstilling af gummidæk og gummislanger; vulkanisering af dæk";Branchen omfatter fremstilling af gummidæk og gummislanger til dæk. Vulkanisering af dæk er også omfattet.;;;"- Fremstilling af gummireparationsmaterialer, jf.<ref>22.19.00</ref>
- Reparation, montering eller udskiftning af dæk eller slanger, jf.<ref>45.20.40</ref>";;
156;"22.19.00";2;Fremstilling af andre gummiprodukter;Branchen omfatter fremstilling af gummiprodukter, omfattet er bla stænger og profiler af gummi, gummistøvler, luftmadrasser af gummi og gummibelagt stof, herunder beklædning af latex (limet, ikke syet). Det er dog ikke alle produkter af gummi, der er omfattet (se venligst 'omfatter ikke').;"- Fremstilling af andre produkter af naturgummi eller syntetgummi, ikke-vulkaniserede, vulkaniserede eller hærdede:
- Plader, bånd, strimler, stænger og profiler af gummi
- Rør og slanger
- Transportbånd, drivremme eller drivremmateriale af gummi
- Hygiejniske artikler af gummi: kondomer, sutter, varmeflasker mv.
- Beklædningsartikler af gummi (som ikke er sammensyet, men blot sammenklæbet)
- Gummisåler og andre gummidele på fodtøj
- Tråd og reb af gummi
- Gummibelagt garn og stof
- Ringe, fittings og tætninger af gummi
- Gummivalsebelægninger
- Oppustelige gummimadrasser
- Oppustelige balloner
- Fremstilling af gummibørster
- Fremstilling af piberør af hård gummi
- Fremstilling af kamme, hårnåle, curlere o.l.
- Fremstilling af imiteret læder baseret på gummi
- Fremstilling af gummistøvler";"- Fremstilling af gummireparationsmaterialer
- Fremstilling af tekstilvarer, der er imprægneret, belagt, dækket eller lamineret med gummi, hvor gummi er hovedbestanddelen
- Fremstilling af gummivandmadrasser
- Fremstilling af badehætter og forklæder af gummi
- Fremstilling af våddragter og dykkerdragter af gummi
- Fremstilling af sexartikler af gummi";;;
157;"22.21.00";2;Fremstilling af plader, ark, rør og slanger samt profiler af plast;Branchen omfatter fremstilling af mellemprodukter af plast (fx plader, ark, strimler, folie) og visse færdigvarer af plast (rør, slanger og fittings).;"- Fremstilling af halvfabrikata af plast:
- Plader, ark, blokke, film, folie, strimler mv. af plast (uanset om de er selvklæbende eller ej)
- Fremstilling af færdige plastprodukter:
- Rør og slanger af plast, fittings til slanger og rør
- Fremstilling af cellofanfilm eller -ark";;"- Fremstilling af basisplast, jf.<ref>20.16.00</ref>
- Fremstilling af artikler af syntet- eller naturgummi, jf.<ref>22.1</ref>";;
158;"22.22.00";2;Fremstilling af plastemballage;Branchen omfatter fremstilling af plastemballage, fx poser, kasser og flasker.;"- Fremstilling af emballageartikler af plast:
- Poser, sække, beholdere, æsker, kasser, balloner, flasker mv.";;- Fremstilling af tasker og kufferter af plast, jf.<ref>15.12.00</ref>;;
159;"22.23.00";2;Fremstilling af bygningsartikler af plast;Branchen omfatter fremstilling af plastprodukter til bygninger, fx vinduer, persienner, tanke, gulvmaterialer, brusekabiner og kunststen.;"- Fremstilling af bygningsartikler af plast:
- Døre, vinduer, rammer, skodder, persienner, fodpaneler
- Tanke og beholdere
- Gulvbelægningsmateriale, væg- eller loftsbeklædning eller fliser mv.
- Sanitetsvarer i plast som fx badekar, brusekabiner, håndvaske, wc-kummer, skyllecisterner mv.
- Fremstilling af fleksible gulvbelægninger som fx vinyl, linoleum mv.
- Fremstilling af kunststen";;;;
160;"22.29.00";2;Fremstilling af andre plastprodukter;Branchen omfatter fremstilling af en række færdige plastprodukter, fx service og køkkentøj, toiletartikler, festartikler og kontorartikler af plast. Det er ikke alle plastprodukter, der er omfattet (se venligst 'omfatter ikke').;"- Fremstilling af bordservice, køkkentøj og toiletartikler af plast
- Fremstilling af andre plastprodukter i øvrigt:
- Hovedbeklædning, handsker, isoleringsfittings, dele til belysningsarmaturer, kontor- eller skoleartikler, beklædningsartikler (som ikke er sammensyet, men blot sammenklæbet), beslag til møbler, gardiner, statuetter, transportbånd og drivremme, selvklæbende tape, skolæster, cigar- og cigaretholdere, kamme, hårcurlere, festartikler mv.
- Fremstilling af imiteret læder baseret på plast
- Skiltemalere (folie)
- Fremstilling af plasttapet
- Metalovertrækning af plast";;"- Fremstilling af tasker og kufferter af plast, jf.<ref>15.12.00</ref>
- Fremstilling af fodtøj, jf.<ref>15.20.00</ref>
- Fremstilling af møbler, jf.<ref>31.01</ref>,<ref>31.02</ref>,<ref>31.09</ref>
- Fremstilling af madrasser af skumplast, jf.<ref>31.03.00</ref>
- Fremstilling af sportsrekvisitter, jf.<ref>32.30.00</ref>
- Fremstilling af spil og legetøj, jf.<ref>32.40.00</ref>
- Fremstilling af læge- og tandlægeudstyr, jf.<ref>32.50.00</ref>
- Fremstilling af oftalmiske artikler, jf.<ref>32.50.00</ref>
- Fremstilling af hårde hatte og andet personligt sikkerhedsudstyr af plast, jf.<ref>32.99.00</ref>";;
161;"23.11.00";2;Fremstilling af planglas;Branchen omfatter fremstilling af planglas, herunder trådarmeret, farvet eller tonet glas. Formning og forarbejdning af planglas er ikke omfattet.;- Fremstilling af planglas, herunder trådarmeret, farvet eller tonet glas;;;;
162;"23.12.00";2;Formning og forarbejdning af planglas;Branchen omfatter forarbejdning af planglas, herunder formning, hærdning og laminering. Fremstilling af glasspejle og flervæggede isoleringsenheder af glas er også omfattet.;"- Formning og forarbejdning af planglas
- Fremstilling af hærdet og lamineret planglas
- Fremstilling af glasspejle
- Fremstilling af flervæggede isoleringsenheder af glas";;;;
163;"23.13.00";2;Fremstilling af flasker, drikkeglas mv.;Branchen omfatter fremstilling af glasflasker, drikkeglas og andre beholder og husholdningsartikler af glas. Branchen omfatter både fremstilling på glasfabrikker og i glaspusterier.;"- Glaspusterier
- Fremstilling af flasker og andre beholdere af glas eller krystal
- Fremstilling af drikkeglas og andre husholdningsartikler af glas eller krystal";;- Fremstilling af glaslegetøj, jf.<ref>32.40.00</ref>;;
164;"23.14.00";2;Fremstilling af glasfiber;Branchen omfatter fremstilling af glasfiber, herunder glasuld og ikke-vævede produkter af glasuld. Fremstilling af glasfiberkabler og vævning af glasgarn er ikke omfattet.;- Fremstilling af glasfiber, herunder glasuld og ikke-vævede produkter heraf;;"- Fremstilling af vævede stoffer af glasgarn, jf.<ref>13.10.00</ref>
- Fremstilling af kabler af optiske fibre til datatransmission eller direkte transmission af billeder, jf.<ref>27.31.00</ref>";;
165;"23.19.00";2;Fremstilling og bearbejdning af andet glas (herunder teknisk glas);Branchen omfatter fremstilling af en række glasvarer, som ikke er omfattet andre steder. Det er bl.a. fremstilling af laboratorieglas, isoleringsdele af glas, glasfigurer og glasfliser. Branchen omfatter ikke fremstilling af optisk bearbejdet glas.;"- Fremstilling af laboratorieartikler, hygiejniske artikler og farmaceutiske artikler af glas
- Fremstilling af urglas, optisk glas og optiske artikler, som ikke er optisk bearbejdede
- Fremstilling af glas til bijouteri
- Fremstilling af glasisolatorer og isoleringsdele af glas
- Fremstilling af glaskapper til lamper
- Fremstilling af glasfigurer
- Fremstilling af fliser af glas
- Fremstilling af glas i stænger og rør";;"- Fremstilling af optisk bearbejdede artikler, jf.<ref>26.70.00</ref>
- Fremstilling af sprøjter og andet medicinsk laboratorieudstyr, jf.<ref>32.50.00</ref>";;
166;"23.20.00";2;Fremstilling af ildfaste produkter;Branchen omfatter fremstilling af ildfaste produkter, fx ildfast mørtel, beton og mursten. Fremstilling af mellemprodukter af sand, grus, ler og sten er også omfattet, ligesom varmeisolerende produkter af fossilt kiselmel eller moler.;"- Fremstilling af halvfabrikata fra indvundne ikke-metalholdige mineraler som fx sand, grus, sten eller ler
- Fremstilling af ildfast mørtel, beton mv.
- Fremstilling af ildfaste keramiske artikler:
- Varmeisolerende keramiske produkter af fossilt kiselmel
- Ildfaste mursten, blokke og fliser mv.
- Retorter, digler, mufler, dyser, rør mv.";- Fremstilling af ildfaste artikler indeholdende magnesit, dolomit og chromit;;;
167;"23.31.00";2;Fremstilling af keramiske teglsten og gulvfliser;Branchen omfatter fremstilling af keramiske teglsten, fliser og belægningssten, der ikke er konstruktionsmæssige.;"- Fremstilling af keramiske teglsten og gulvfliser
- Fremstilling af ikke-ildfaste keramiske fliser til beklædning af gulve o.l., mosaikfliser mv.
- Fremstilling af ikke-ildfaste keramiske belægningssten og -fliser";;"- Fremstilling af kunststen (fx kunstigt fremstillet marmor), jf.<ref>22.23.00</ref>
- Fremstilling af ildfaste keramiske produkter, jf.<ref>23.20.00</ref>
- Fremstilling af keramiske mursten og tagsten, jf.<ref>23.32.00</ref>";;
