SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
369;"46.34.20";2;Engroshandel med vin og spiritus;Branchen omfatter engroshandel med alkoholiske drikke undtagen øl (46.34.10), herunder tapning på flaske, men ikke blanding af vin eller spiritus (11.01.00 hhv. 11.02.00);- Storkøb af vin og tapning på flaske uden omdannelse;;- Blanding af vin eller destilleret spiritus, jf.<ref>11.01.00</ref>,<ref>11.02.00</ref>;;
370;"46.35.00";2;Engroshandel med tobaksvarer;Branchen omfatter engroshandel med tobaksvarer, som er klar til brug. Handel med råtobak ligger i branche 46.21.00;;;- Engroshandel med råtobak, jf.<ref>46.21.00</ref>;;
371;"46.36.00";2;Engroshandel med sukker, chokolade og sukkervarer;Branchen omfatter engroshandel med bl.a. bagerprodukter, konsumis, fabriksfremstillet brød, kager og kiks.;"- Engroshandel med sukker, chokolade og sukkervarer
- Engroshandel med bagerprodukter
- Engroshandel med konsumis
- Engroshandel med fabriksfremstillet brød, kager, kiks mv.";;;;
372;"46.37.00";2;Engroshandel med kaffe, te, kakao og krydderier;"Branchen omfatter engroshandel med kaffe, te, kakao og krydderier, inkl. kaffebrænderier i forbindelse med salg af kaffe. ";;- Kaffebrænderier i forbindelse med engroshandel;;;
373;"46.38.10";2;Engroshandel med fisk og fiskeprodukter;Branchen omfatter engroshandel med fisk, krebsdyr og bløddyr inkl. fiskeprodukter. Branchen omfatter ikke handel i auktionshuse (46.17.10).;;;- Auktionshandel med fisk, jf.<ref>46.17.10</ref>;;
374;"46.38.90";2;Specialiseret engroshandel med fødevarer i.a.n.;Branchen omfatter engroshandel med føde- eller drikkevarer, som ikke ellers er nævnt under brancher i afsnit 46.3, hvor én varegruppe udgør mindst 50 % af omsætningen. Fx. engroshandel med helsekostprodukter, diætmad eller foder til kæledyr.;"- Engroshandel med helsekostprodukter
- Engroshandel med diætmad og babymad
- Engroshandel med foder til kæledyr
- Engroshandel med naturmedicin og -produkter
- Engroshandel med slankeprodukter
- Engroshandel med færdigretter
- Engroshandel med bouillon";;;;
375;"46.39.00";2;Ikke-specialiseret engroshandel med føde-, drikke- og tobaksvarer;;- Kolonialgrossister der forhandler flere varegrupper indenfor føde, drikke- og tobaksvarer;;;;
376;"46.41.00";2;Engroshandel med tekstiler;Branchen omfatter handel med bl.a. sytråd, garn, kjolestoffer, håndklæder, linned, dun og dyner, men ikke soveposer (46.49.10) eller gulvtæpper (46.47.00).;"- Engroshandel med tekstiler herunder boligtekstiler
- Engroshandel med håndklæder
- Engroshandel med garn
- Engroshandel med kjolestoffer
- Engroshandel med dyner, linned osv.
- Engroshandel med sy- og besætningsartikler: nåle, sytråd osv.
- Engroshandel med broderier
- Engroshandel med dun
- Engroshandel med gardiner og gardinstoffer";;"- Engroshandel med tekstilfibre, jf.<ref>46.76.00</ref>
- Engroshandel med tæpper, jf.<ref>46.47.00</ref>
- Engroshandel med beklædning, jf.<ref>46.42.10</ref>
- Engroshandel med soveposer, jf.<ref>46.49.10</ref>";;
377;"46.42.10";2;Engroshandel med beklædning;Branchen omfatter engroshandel med tøj, inklusive sportstøj og arbejdstøj, men ikke fodtøj (46.42.20). Branchen omfatter også tilbehør, fx slips, handsker, seler, pelsartikler og paraplyer.;"- Engroshandel med beklædning, herunder sportstøj og arbejdsbeklædning
- Engroshandel med beklædningstilbehør såsom handsker, slips og seler
- Engroshandel med pelsartikler
- Engroshandel med paraplyer";;- Engroshandel med smykker, jf.<ref>46.48.00</ref>;;
378;"46.42.20";2;Engroshandel med fodtøj;Branchen omfatter engroshandel med fodtøj i alle materialer, undtagen særligt sportsfodtøj, fx skistøvler.;- Engroshandel med fodtøj;;"- Engroshandel med lædervarer, jf.<ref>46.49.30</ref>
- Engroshandel med særligt sportsfodtøj, fx skistøvler, jf.<ref>46.49.10</ref>";;
379;"46.43.10";2;Engroshandel med hårde hvidevarer;Branchen omfatter handel med hårde hvidevarer som fx køleskabe og vaskemaskiner.;- Engroshandel med køleskabe, frysere, komfurer, opvaskemaskiner, tørretumblere, tørreskabe, vaskemaskiner og mikroovne;;;;
380;"46.43.20";2;Engroshandel med radio og tv mv.;Branchen  omfatter engroshandel med radio og tv-udstyr, inkl. antenner, højtalere, av-udstyr og elektroniske spil.;"- Engroshandel med radio- og tv-udstyr
- Engroshandel med antenner og av-udstyr
- Engroshandel med elektroniske spil";;;;
381;"46.43.30";2;Engroshandel med indspillede videoer, cd'er, dvd'er mv.;Branchen omfatter engroshandel med indspillede medier.;- Engroshandel med indspillede lydbånd og videobånd, cd'er, dvd'er;;- Engroshandel med uindspillede lydbånd og videobånd, cd'er, dvd'er, jf.<ref>46.52.20</ref>;;
382;"46.43.40";2;Engroshandel med fotografiske og optiske artikler;Branchen omfatter engroshandel med bl.a. fotografiapparater, teleskoper og mikroskoper samt briller.;"- Engroshandel med fotografisk og optisk udstyr
- Engroshandel med briller";;;;
383;"46.43.50";2;Engroshandel med elektriske husholdningsartikler;Branchen omfatter engroshandel med mindre husholdningsapparater, fx støvsugere, kaffemaskiner, blendere, elektriske varmeapparater samt batterier og ledninger til husholdningsbrug. Branchen omfatter ikke engroshandel med symaskiner (46.64.00) eller lamper (46.47.00).;"- Engroshandel med elektriske husholdningsartikler: støvsugere, kaffemaskiner, saftpressere mv.
- Engroshandel med elektriske varmeapparater";"- Engroshandel med ledninger og kontakter og andet installationstilbehør til husholdningsbrug
- Engroshandel med batterier";"- Engroshandel med symaskiner, jf.<ref>46.64.00</ref>
- Engroshandel med lamper, jf.<ref>46.47.00</ref>";;
384;"46.44.10";2;Engroshandel med porcelæns- og glasvarer;Branchen omfatter engroshandel med tallerkner, fade, kopper, kander mv. af porcelæn eller glas.;- Engroshandel med porcelæns- og glasvarer, herunder drikkeglas;;;;
385;"46.44.20";2;Engroshandel med rengøringsmidler;Branchen omfatter engroshandel med rengøringsmidler, inkl. autoplejemidler.;- Engroshandel med rengøringsmidler, herunder autoplejemidler;;;;
386;"46.45.00";2;Engroshandel med parfumerivarer og kosmetik;Branchen omfatter engroshandel med kosmetik, parfume, solcreme, shampoo, badesalt, tandpasta mm.;- Engroshandel med kosmetik, parfumerivarer, bijouterivarer, solcreme, hårshampoo, deodoranter, badesalt, tandpasta, barberblade mv.;;;;
387;"46.46.10";2;Engroshandel med medicinalvarer og sygeplejeartikler;Branchen omfatter engroshandel med ortopædiske artikler, sygeplejeartikler, medicinalvarer, medicinske artikler, antibiotika mm. Branchen omfatter ikke slankeprodukte og naturmedicin (46.38.90);"- Engroshandel med ortopædiske artikler
- Engroshandel med sygeplejeartikler
- Engroshandel med medicinalvarer og medicinske artikler
- Engroshandel med antibiotika";;- Engroshandel med slankeprodukter og naturmedicin, jf.<ref>46.38.90</ref>;;
388;"46.46.20";2;Engroshandel med læge- og hospitalsartikler;Branchen omfatter engroshandel med inventar til hospitaler og tandlæger, fx røngtenapparater, operationsborde, senge, tandlægestole mv.;- Engroshandel med hospitalsinventar fx senge, operationsborde, røntgenapparatur mv.;;;;
389;"46.47.00";2;Engroshandel med møbler, tæpper og belysningsartikler;Branchen omfatter engroshandel med møbler, tæpper og belysningsartikler, men ikke kontormøbler, hospitals- eller tandlægeinventar.;"- Engroshandel med møbler
- Engroshandel med tæpper
- Engroshandel med belysningsartikler";;"- Engroshandel med kontormøbler, jf.<ref>46.65.00</ref>
- Engroshandel med møbler til medicinsk og dental brug, jf.<ref>46.46.20</ref>
- Engroshandel med møbelstoffer, jf.<ref>46.41.00</ref>";;
390;"46.48.00";2;Engroshandel med ure, smykker og guld- og sølvvarer;Branchen omfatter engroshandel med ure og smykker i alle materialer samt andre artikler i guld og sølv.;;;;;
391;"46.49.10";2;Engroshandel med cykler, sportsartikler og lystbåde;Branchen omfatter engroshandel med en række forskellige varer, fx knallerter, udstyr til jagt, fiskeri, camping eller sport, lystbåde og barnevogne.;"- Engroshandel med knallerter
- Engroshandel med campingudstyr
- Engroshandel med cykler og reservedele og tilbehør hertil
- Engroshandel med sportsudstyr, herunder specialfodtøj som skistøvler
- Engroshandel med atletikudstyr
- Engroshandel med lystbåde, herunder sejl
- Engroshandel med barnevogne
- Engroshandel med jagt- og lystfiskerudstyr";;;;
392;"46.49.20";2;Engroshandel med bøger, papir og papirvarer;Branchen omfatter engroshandel med papirvarer, bøger, papir, blade og aviser;- Engroshandel med papirvarer, bøger, papir, blade og aviser;;;;
393;"46.49.30";2;Engroshandel med kufferter og lædervarer;Branchen omfatter engroshandel med fx lædervarer, kufferter, kunsthåndværk, brugskunst og festartikler;"- Engroshandel med lædervarer, kufferter, kunsthåndværk og rejseartikler
- Engroshandel med brugskunst
- Engroshandel med festartikler";;;;
